,playlist_name,track_name,album_name
0,coming of age online,"Holland, 1945",In the Aeroplane Over the Sea
1,coming of age online,Communist Daughter,In the Aeroplane Over the Sea
2,coming of age online,Oh Comely,In the Aeroplane Over the Sea
3,coming of age online,King of Carrot Flowers Pts. 2 & 3,In the Aeroplane Over the Sea
4,coming of age online,Two-Headed Boy,In the Aeroplane Over the Sea
5,coming of age online,"Flightless Bird, American Mouth",The Shepherd's Dog
6,coming of age online,Heart It Races - Cover Version,Heart It Races
7,coming of age online,First Day of My Life,"I'm Wide Awake, It's Morning"
8,coming of age online,Cough Syrup,Young The Giant (Special Edition)
9,coming of age online,White Winter Hymnal,Fleet Foxes
10,coming of age online,Do You Realize??,Yoshimi Battles the Pink Robots
11,coming of age online,"Yoshimi Battles the Pink Robots, Pt. 1",Yoshimi Battles the Pink Robots
12,coming of age online,Oblivion,Visions
13,coming of age online,Lua,"I'm Wide Awake, It's Morning"
14,coming of age online,I And Love And You,I And Love And You
15,coming of age online,Blood Bank,Blood Bank
16,coming of age online,No One's Gonna Love You,Cease To Begin
17,coming of age online,The Blower's Daughter,O
18,coming of age online,Sleeping Ute,Shields
19,coming of age online,There Is a Light That Never Goes Out - 2011 Remaster,The Queen Is Dead
20,coming of age online,Fidelity,Begin to Hope (Special Edition)
21,coming of age online,re:stacks,"For Emma, Forever Ago"
22,coming of age online,Sea of Love,The Covers Record
23,coming of age online,The District Sleeps Alone Tonight - Remastered,Give Up (Deluxe 10th Anniversary Edition)
24,coming of age online,I Will Follow You into the Dark,Plans
25,coming of age online,Transatlanticism,Transatlanticism (10th Anniversary Edition)
26,coming of age online,What Sarah Said,Plans
27,coming of age online,Such Great Heights,Give Up
28,coming of age online,A Movie Script Ending,The Photo Album
29,coming of age online,Dear Avery,The King Is Dead
30,coming of age online,You're a Wolf,Leaves in the River
31,coming of age online,Middle Distance Runner,Leaves in the River
32,coming of age online,The Garden That You Planted,Get to the River Before It Runs Too Low
33,coming of age online,Land Locked Blues,"I'm Wide Awake, It's Morning"
34,coming of age online,Lisztomania,Wolfgang Amadeus Phoenix
35,coming of age online,40 Day Dream,Up From Below (10th Anniversary Edition) [2019 - Remaster]
36,coming of age online,Oxford Comma,Vampire Weekend
37,coming of age online,Cape Cod Kwassa Kwassa,Vampire Weekend
38,coming of age online,The Kids Don't Stand a Chance,Vampire Weekend
39,coming of age online,Diplomat's Son,Contra
40,coming of age online,Young Lion,Modern Vampires of the City
41,coming of age online,Hannah Hunt,Modern Vampires of the City
42,coming of age online,Unbelievers,Modern Vampires of the City
43,coming of age online,Mykonos,First Collection 2006-2009
44,coming of age online,Oliver James,Fleet Foxes
45,coming of age online,Helplessness Blues,Helplessness Blues
46,coming of age online,Needle,Birthmarks
47,coming of age online,Ocean's Deep,Birthmarks
48,coming of age online,Hummingbird,"Red, Yellow & Blue"
49,coming of age online,I Need A Life,"Red, Yellow & Blue"
