playlist_name,artist_name,genres,artist_popularity
current nov22,Carol Ades,"['alt z', 'gen z singer-songwriter', 'indie pop']",39
current nov22,Laura Marling,"['art pop', 'british folk', 'british singer-songwriter', 'chamber pop', 'indie folk', 'indie pop', 'singer-songwriter', 'stomp and holler']",55
current nov22,Olivia Barton,['boston folk'],24
current nov22,Carol Ades,"['alt z', 'gen z singer-songwriter', 'indie pop']",39
current nov22,George Strait,"['contemporary country', 'country', 'country road', 'country rock']",71
current nov22,Haley Joelle,"['alt z', 'gen z singer-songwriter']",57
current nov22,Sophie May,,47
current nov22,Lizzy McAlpine,"['boston folk', 'indie pop', 'pop']",67
current nov22,Holly Humberstone,"['alt z', 'indie pop', 'modern alternative pop', 'uk pop']",59
current nov22,Ana Gabriel,"['latin pop', 'mariachi', 'ranchera']",70
current nov22,Sarah Kinsley,"['gen z singer-songwriter', 'indie pop']",50
current nov22,Girlpool,"['bubblegrunge', 'indie pop', 'indie punk', 'indie rock']",42
current nov22,Thee Sacred Souls,"['latinx alternative', 'souldies']",56
current nov22,DivineDevine,,16
current nov22,Shai Nowell,,16
current nov22,2oo7,,15
current nov22,Big Thief,"['art pop', 'brooklyn indie', 'indie pop', 'indie rock', 'small room']",61
current nov22,The Joy,,23
current nov22,Sabrina Carpenter,"['alt z', 'dance pop', 'pop', 'post-teen pop']",74
current nov22,Bella Poarch,['modern alternative pop'],65
current nov22,Artur Nunes,['semba'],17
current nov22,Saint Levant,['palestinian hip hop'],60
current nov22,Angèle,"['belgian pop', 'variete francaise']",70
current nov22,Lizzy McAlpine,"['boston folk', 'indie pop', 'pop']",67
current nov22,Victoria Monét,"['alternative r&b', 'indie r&b', 'pop', 'post-teen pop', 'r&b', 'rap', 'urban contemporary']",62
current nov22,dodie,"['alt z', 'indie pop', 'pop']",61
wedding playlist 2,The Ronettes,"['adult standards', 'brill building pop', 'classic girl group']",65
wedding playlist 2,Ramones,"['classic rock', 'early us punk', 'permanent wave', 'punk', 'rock', 'skate punk']",65
wedding playlist 2,Ramones,"['classic rock', 'early us punk', 'permanent wave', 'punk', 'rock', 'skate punk']",65
