,playlist_name,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,wedding playlist 2,0.006,https://api.spotify.com/v1/audio-analysis/2DFRFqWNahKtFD112H2iEZ,0.464,213173,0.797,2DFRFqWNahKtFD112H2iEZ,0.000304,0,0.392,-5.244,1,0.0333,['tempo'],4,https://api.spotify.com/v1/tracks/2DFRFqWNahKtFD112H2iEZ,['type'],spotify:track:2DFRFqWNahKtFD112H2iEZ,0.547
1,wedding playlist 2,0.00103,https://api.spotify.com/v1/audio-analysis/3xzRBn3ywzobJrc1efC7Sb,0.535,251573,0.801,3xzRBn3ywzobJrc1efC7Sb,0.00329,0,0.0676,-11.734,1,0.0345,['tempo'],4,https://api.spotify.com/v1/tracks/3xzRBn3ywzobJrc1efC7Sb,['type'],spotify:track:3xzRBn3ywzobJrc1efC7Sb,0.672
2,wedding playlist 2,0.0524,https://api.spotify.com/v1/audio-analysis/4NnWuGQujzWUEg0uZokO5M,0.437,212013,0.94,4NnWuGQujzWUEg0uZokO5M,0.000573,9,0.222,-6.946,1,0.0426,['tempo'],4,https://api.spotify.com/v1/tracks/4NnWuGQujzWUEg0uZokO5M,['type'],spotify:track:4NnWuGQujzWUEg0uZokO5M,0.48
3,wedding playlist 2,0.00772,https://api.spotify.com/v1/audio-analysis/4IvZLDtwBHmBmwgDIUbuwa,0.669,201187,0.795,4IvZLDtwBHmBmwgDIUbuwa,0.0781,2,0.401,-10.865,1,0.0285,['tempo'],4,https://api.spotify.com/v1/tracks/4IvZLDtwBHmBmwgDIUbuwa,['type'],spotify:track:4IvZLDtwBHmBmwgDIUbuwa,0.882
4,wedding playlist 2,0.253,https://api.spotify.com/v1/audio-analysis/6iGU74CwXuT4XVepjc9Emf,0.521,173040,0.487,6iGU74CwXuT4XVepjc9Emf,0.0,6,0.0579,-7.525,0,0.0299,['tempo'],4,https://api.spotify.com/v1/tracks/6iGU74CwXuT4XVepjc9Emf,['type'],spotify:track:6iGU74CwXuT4XVepjc9Emf,0.483
5,coming of age online,0.0399,https://api.spotify.com/v1/audio-analysis/64DpBZj4IlDFzCwxTq7azl,0.0621,192533,0.887,64DpBZj4IlDFzCwxTq7azl,0.000156,7,0.619,-4.305,1,0.0632,['tempo'],4,https://api.spotify.com/v1/tracks/64DpBZj4IlDFzCwxTq7azl,['type'],spotify:track:64DpBZj4IlDFzCwxTq7azl,0.48
6,coming of age online,0.285,https://api.spotify.com/v1/audio-analysis/0n97PkKoTpnp5L343TMAgB,0.192,117307,0.377,0n97PkKoTpnp5L343TMAgB,0.813,7,0.173,-9.157,1,0.0352,['tempo'],4,https://api.spotify.com/v1/tracks/0n97PkKoTpnp5L343TMAgB,['type'],spotify:track:0n97PkKoTpnp5L343TMAgB,0.0976
7,coming of age online,0.744,https://api.spotify.com/v1/audio-analysis/41WcmdweTbIJAc8tiOR6xw,0.365,498147,0.357,41WcmdweTbIJAc8tiOR6xw,1.97e-05,4,0.11,-6.227,0,0.0343,['tempo'],3,https://api.spotify.com/v1/tracks/41WcmdweTbIJAc8tiOR6xw,['type'],spotify:track:41WcmdweTbIJAc8tiOR6xw,0.117
8,coming of age online,0.0477,https://api.spotify.com/v1/audio-analysis/1ULovMYbbglXIn9TQzMsKz,0.219,186280,0.827,1ULovMYbbglXIn9TQzMsKz,0.0,5,0.135,-5.395,1,0.123,['tempo'],4,https://api.spotify.com/v1/tracks/1ULovMYbbglXIn9TQzMsKz,['type'],spotify:track:1ULovMYbbglXIn9TQzMsKz,0.121
9,coming of age online,0.705,https://api.spotify.com/v1/audio-analysis/27AG99NmWMFLRoyZMMPNW2,0.342,266107,0.613,27AG99NmWMFLRoyZMMPNW2,0.0,7,0.14,-4.084,1,0.0311,['tempo'],4,https://api.spotify.com/v1/tracks/27AG99NmWMFLRoyZMMPNW2,['type'],spotify:track:27AG99NmWMFLRoyZMMPNW2,0.267
