,playlist_name,artist_name,occurences,grouped
0,current nov22,Carol Ades,2,"Carol Ades,Lizzy McAlpine"
1,current nov22,Lizzy McAlpine,2,"Carol Ades,Lizzy McAlpine"
2,wedding playlist 2,The Ronettes,2,"The Ronettes,Ramones,The Cure"
3,wedding playlist 2,Ramones,2,"The Ronettes,Ramones,The Cure"
4,wedding playlist 2,The Cure,2,"The Ronettes,Ramones,The Cure"
5,coming of age online,Vampire Weekend,7,Vampire Weekend
6,to lay on the floor,Billie Marten,2,Billie Marten
7,dance,Muni Long,3,Muni Long
8,currents,Lake Street Dive,1,"Lake Street Dive,BJ The Chicago Kid,PJ Morton,Kenyon Dixon,Charlie Bereal,Panic! At The Disco,Thirdstory,Ludo,Bleachers,Colony House,Jamila Woods,Dermot Kennedy,James Blake"
9,currents,BJ The Chicago Kid,1,"Lake Street Dive,BJ The Chicago Kid,PJ Morton,Kenyon Dixon,Charlie Bereal,Panic! At The Disco,Thirdstory,Ludo,Bleachers,Colony House,Jamila Woods,Dermot Kennedy,James Blake"
10,currents,PJ Morton,1,"Lake Street Dive,BJ The Chicago Kid,PJ Morton,Kenyon Dixon,Charlie Bereal,Panic! At The Disco,Thirdstory,Ludo,Bleachers,Colony House,Jamila Woods,Dermot Kennedy,James Blake"
11,currents,Kenyon Dixon,1,"Lake Street Dive,BJ The Chicago Kid,PJ Morton,Kenyon Dixon,Charlie Bereal,Panic! At The Disco,Thirdstory,Ludo,Bleachers,Colony House,Jamila Woods,Dermot Kennedy,James Blake"
12,currents,Charlie Bereal,1,"Lake Street Dive,BJ The Chicago Kid,PJ Morton,Kenyon Dixon,Charlie Bereal,Panic! At The Disco,Thirdstory,Ludo,Bleachers,Colony House,Jamila Woods,Dermot Kennedy,James Blake"
13,currents,Panic! At The Disco,1,"Lake Street Dive,BJ The Chicago Kid,PJ Morton,Kenyon Dixon,Charlie Bereal,Panic! At The Disco,Thirdstory,Ludo,Bleachers,Colony House,Jamila Woods,Dermot Kennedy,James Blake"
14,currents,Thirdstory,1,"Lake Street Dive,BJ The Chicago Kid,PJ Morton,Kenyon Dixon,Charlie Bereal,Panic! At The Disco,Thirdstory,Ludo,Bleachers,Colony House,Jamila Woods,Dermot Kennedy,James Blake"
15,currents,Ludo,1,"Lake Street Dive,BJ The Chicago Kid,PJ Morton,Kenyon Dixon,Charlie Bereal,Panic! At The Disco,Thirdstory,Ludo,Bleachers,Colony House,Jamila Woods,Dermot Kennedy,James Blake"
16,currents,Bleachers,1,"Lake Street Dive,BJ The Chicago Kid,PJ Morton,Kenyon Dixon,Charlie Bereal,Panic! At The Disco,Thirdstory,Ludo,Bleachers,Colony House,Jamila Woods,Dermot Kennedy,James Blake"
17,currents,Colony House,1,"Lake Street Dive,BJ The Chicago Kid,PJ Morton,Kenyon Dixon,Charlie Bereal,Panic! At The Disco,Thirdstory,Ludo,Bleachers,Colony House,Jamila Woods,Dermot Kennedy,James Blake"
18,currents,Jamila Woods,1,"Lake Street Dive,BJ The Chicago Kid,PJ Morton,Kenyon Dixon,Charlie Bereal,Panic! At The Disco,Thirdstory,Ludo,Bleachers,Colony House,Jamila Woods,Dermot Kennedy,James Blake"
19,currents,Dermot Kennedy,1,"Lake Street Dive,BJ The Chicago Kid,PJ Morton,Kenyon Dixon,Charlie Bereal,Panic! At The Disco,Thirdstory,Ludo,Bleachers,Colony House,Jamila Woods,Dermot Kennedy,James Blake"
20,currents,James Blake,1,"Lake Street Dive,BJ The Chicago Kid,PJ Morton,Kenyon Dixon,Charlie Bereal,Panic! At The Disco,Thirdstory,Ludo,Bleachers,Colony House,Jamila Woods,Dermot Kennedy,James Blake"
21,wedding playlist,Lindsay Lohan,1,"Lindsay Lohan,Weezer"
22,wedding playlist,Weezer,1,"Lindsay Lohan,Weezer"
23,a love letter to little me,Hannah Montana,6,Hannah Montana
24,You are safe,Sleeping At Last,5,Sleeping At Last
25,ATL w/Melissa,Lake Street Dive,2,Lake Street Dive
26,To listen to 8/2,Lawrence,13,Lawrence
27,for dancing,Never Shout Never,8,Never Shout Never
28,doin' the naughty,Arctic Monkeys,2,Arctic Monkeys
29,"dont worry, you're doing just fine",Keaton Henson,1,"Keaton Henson,Mindy Gledhill,Passenger,The Head And The Heart,The Kooks,Steel Train,Frank Turner,The Verve Pipe,Seth Slay,The Weepies,Deb Talan,Steve Tannen,Young the Giant,Vacationer,Born Ruffians"
30,"dont worry, you're doing just fine",Mindy Gledhill,1,"Keaton Henson,Mindy Gledhill,Passenger,The Head And The Heart,The Kooks,Steel Train,Frank Turner,The Verve Pipe,Seth Slay,The Weepies,Deb Talan,Steve Tannen,Young the Giant,Vacationer,Born Ruffians"
31,"dont worry, you're doing just fine",Passenger,1,"Keaton Henson,Mindy Gledhill,Passenger,The Head And The Heart,The Kooks,Steel Train,Frank Turner,The Verve Pipe,Seth Slay,The Weepies,Deb Talan,Steve Tannen,Young the Giant,Vacationer,Born Ruffians"
32,"dont worry, you're doing just fine",The Head And The Heart,1,"Keaton Henson,Mindy Gledhill,Passenger,The Head And The Heart,The Kooks,Steel Train,Frank Turner,The Verve Pipe,Seth Slay,The Weepies,Deb Talan,Steve Tannen,Young the Giant,Vacationer,Born Ruffians"
33,"dont worry, you're doing just fine",The Kooks,1,"Keaton Henson,Mindy Gledhill,Passenger,The Head And The Heart,The Kooks,Steel Train,Frank Turner,The Verve Pipe,Seth Slay,The Weepies,Deb Talan,Steve Tannen,Young the Giant,Vacationer,Born Ruffians"
34,"dont worry, you're doing just fine",Steel Train,1,"Keaton Henson,Mindy Gledhill,Passenger,The Head And The Heart,The Kooks,Steel Train,Frank Turner,The Verve Pipe,Seth Slay,The Weepies,Deb Talan,Steve Tannen,Young the Giant,Vacationer,Born Ruffians"
35,"dont worry, you're doing just fine",Frank Turner,1,"Keaton Henson,Mindy Gledhill,Passenger,The Head And The Heart,The Kooks,Steel Train,Frank Turner,The Verve Pipe,Seth Slay,The Weepies,Deb Talan,Steve Tannen,Young the Giant,Vacationer,Born Ruffians"
