,genre,count
0,alt z,10
1,gen z singer-songwriter,5
2,indie pop,59
3,art pop,5
5,british singer-songwriter,17
6,chamber pop,31
7,indie folk,44
8,singer-songwriter,42
9,stomp and holler,60
10,boston folk,5
11,contemporary country,38
12,country,38
13,country road,30
14,country rock,36
15,pop,167
18,latin pop,40
23,indie rock,50
28,dance pop,68
29,post-teen pop,55
30,semba,38
34,alternative r&b,10
35,indie r&b,6
36,r&b,21
37,rap,16
38,urban contemporary,10
39,adult standards,5
40,brill building pop,5
42,classic rock,81
44,permanent wave,22
46,rock,118
48,new wave,7
49,uk post-punk,6
50,alternative rock,22
51,art rock,13
52,modern rock,52
59,boston rock,7
60,baroque pop,15
61,psychedelic rock,31
63,double drumming,8
64,washington indie,8
65,anti-folk,7
66,elephant 6,6
67,lo-fi,6
68,modern folk rock,7
70,melancholia,9
72,modern alternative rock,6
73,folk,30
74,seattle indie,7
79,new americana,22
86,neo mellow,36
92,lilith,8
96,pop rock,37
97,la indie,7
100,acoustic pop,19
101,indiecoustica,34
103,latin hip hop,6
105,reggaeton,13
106,trap latino,10
109,afropop,8
111,azontobeats,5
112,nigerian pop,5
115,neo soul,17
116,boy band,7
121,viral pop,5
124,pop r&b,7
126,chicago rap,5
127,hip hop,6
128,indie soul,15
130,nyc pop,23
132,indie poptimism,9
133,folk-pop,15
134,irish pop,7
135,electronica,9
136,uk alternative pop,9
138,pop punk,27
139,electropop,10
141,hollywood,40
142,la pop,5
143,broadway,17
144,show tunes,29
145,ambient worship,12
146,folk rock,37
147,mellow gold,24
148,roots rock,28
150,pop rap,20
152,retro soul,20
154,alternative pop rock,8
155,neon pop punk,16
156,pop emo,12
159,texas pop punk,5
163,candy pop,5
186,beatlesque,11
187,british invasion,20
188,merseybeat,11
189,arkansas country,5
191,texas country,20
198,latin arena pop,14
199,mexican pop,21
200,latin rock,7
202,rock en espanol,17
204,salsa,5
205,tropical,15
206,colombian pop,10
210,latin alternative,7
231,k-pop,11
234,high vibe,5
243,anthem worship,13
245,ccm,21
246,christian pop,8
247,world worship,12
248,bubblegum pop,5
249,album rock,28
250,heartland rock,7
251,soft rock,14
256,modern country rock,5
259,vocal jazz,5
267,christian alternative rock,5
268,christian indie,15
269,christian music,7
270,worship,15
272,deep ccm,7
278,movie tunes,73
279,disney,43
307,kizomba antigas,6
308,musica angolana,10
313,morna,6
319,roots worship,12
323,indy indie,8
324,uk americana,5
327,anime score,21
328,glam rock,7
330,blues rock,10
331,hard rock,12
