,playlist_name,track_name,album_name,popularity,release_date,duration
0,current nov22,26,26,31,2022-06-01,188376
1,current nov22,For You,Song For Our Daughter,51,2020-04-10,237228
2,current nov22,Erotic,Antisocial,3,2022-06-21,337914
3,current nov22,Unlearn Me,Unlearn Me,23,2021-09-10,192540
4,current nov22,You Look So Good In Love,Right Or Wrong,53,1983-01-01,193560
5,current nov22,Jealous of Paris,Jealous of Paris,57,2022-04-28,141639
6,current nov22,Lover Boy,You Do Not Have To Be Good,55,2022-08-05,119645
7,current nov22,Give Me A Minute,Give Me A Minute,59,2020-08-13,157493
8,current nov22,The Walls Are Way Too Thin,The Walls Are Way Too Thin,55,2021-11-12,221933
9,current nov22,Es Demasiado Tarde - Remasterizado,La Reina Canta A Mexico,50,2006-10-31,251666
10,current nov22,The Giver,The Giver,58,2022-10-21,227209
11,current nov22,Before the World Was Big,Before The World Was Big,47,2015-06-02,141190
12,current nov22,Can I Call You Rose?,Can I Call You Rose?,56,2020-03-03,188512
13,current nov22,Touch Me,Riot Of The Kelly Green Love,29,2021-10-27,160601
14,current nov22,Shark Smile - Edit,Shark Smile (Edit),62,2017-05-08,194760
15,current nov22,Umacashelana,Umacashelana,25,2021-08-31,125573
16,current nov22,Nonsense,emails i can't send,78,2022-07-15,163648
17,current nov22,Build a Bitch,Build a Bitch,75,2021-05-14,122772
18,current nov22,Kisua Ki Ngui Fuá,Soul of Angola: Anthologie De La Musique Angolaise 1965 - 1975,18,2001,204720
19,current nov22,Very Few Friends,Very Few Friends,75,2022-11-07,132500
20,current nov22,La loi de Murphy,Brol,49,2018-10-05,195173
21,current nov22,Means Something,Give Me A Minute,48,2020-08-13,144631
22,current nov22,Big Boss (Interlude),JAGUAR,59,2020-08-07,91249
23,current nov22,Air So Sweet,Build A Problem,57,2021-05-07,65300
24,wedding playlist 2,"Baby, I Love You",Presenting the Fabulous Ronettes Featuring Veronica,43,1964-11-01,171466
25,wedding playlist 2,"Baby, I Love You",End of the Century (Expanded 2005 Remaster),58,1980-02-04,224560
26,wedding playlist 2,I Wanna Be Your Boyfriend - 2016 Remaster,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),48,1976-04-23,144306
27,wedding playlist 2,Be My Baby,Presenting the Fabulous Ronettes Featuring Veronica,67,1964-11-01,160906
28,wedding playlist 2,Friday I'm in Love,Wish,68,1992-04-21,214400
29,wedding playlist 2,Do You Realize??,Yoshimi Battles the Pink Robots,59,2002-05-13,213173
30,wedding playlist 2,I Melt with You,After the Snow,61,1982-01-25,251573
31,wedding playlist 2,Just like Heaven,"Kiss Me, Kiss Me, Kiss Me",68,1987-05-25,212000
32,wedding playlist 2,Here Comes Your Man,Doolittle,69,1989-04-17,201186
33,wedding playlist 2,God Only Knows - Mono / 1997 Remastered,Pet Sounds (Original Mono & Stereo Mix Versions),67,1966-06-16,173040
34,coming of age online,Missed the Boat,We Were Dead Before The Ship Even Sank,57,2007-03-20,264813
35,coming of age online,Every Other Freckle,Every Other Freckle,28,2014-08-13,216004
36,coming of age online,Float On,Good News For People Who Love Bad News,72,2004-04-05,208466
37,coming of age online,Dashboard,We Were Dead Before The Ship Even Sank,62,2007-03-20,246173
38,coming of age online,In the Aeroplane Over the Sea,In the Aeroplane Over the Sea,65,1998-02-20,202346
39,coming of age online,"Holland, 1945",In the Aeroplane Over the Sea,58,1998-02-20,192533
40,coming of age online,Communist Daughter,In the Aeroplane Over the Sea,52,1998-02-20,117306
41,coming of age online,Oh Comely,In the Aeroplane Over the Sea,49,1998-02-20,498146
42,coming of age online,King of Carrot Flowers Pts. 2 & 3,In the Aeroplane Over the Sea,50,1998-02-20,186280
43,coming of age online,Two-Headed Boy,In the Aeroplane Over the Sea,53,1998-02-20,266106
44,coming of age online,"Flightless Bird, American Mouth",The Shepherd's Dog,68,2007-09-25,241917
45,coming of age online,Heart It Races - Cover Version,Heart It Races,3,2007-06-05,233128
46,coming of age online,First Day Of My Life,"I'm Wide Awake, It's Morning",1,2005-01-25,188800
47,coming of age online,Cough Syrup,Young The Giant (Special Edition),70,2011,249520
48,coming of age online,White Winter Hymnal,Fleet Foxes,60,2008-06-09,147026
49,coming of age online,Do You Realize??,Yoshimi Battles the Pink Robots,59,2002-05-13,213173
50,coming of age online,"Yoshimi Battles the Pink Robots, Pt. 1",Yoshimi Battles the Pink Robots,57,2002-05-13,287506
51,coming of age online,Oblivion,Visions,68,2012-02-21,251266
52,coming of age online,Lua,"I'm Wide Awake, It's Morning",59,2005-01-25,271600
53,coming of age online,I And Love And You,I And Love And You,60,2009-01-01,300840
54,coming of age online,Blood Bank,Blood Bank,0,2009-01-20,285160
55,coming of age online,No One's Gonna Love You,Cease To Begin,59,2007-10-09,217333
56,coming of age online,The Blower's Daughter,O,52,2003-06-03,286653
57,coming of age online,Sleeping Ute,Shields,38,2012-09-17,275317
58,coming of age online,There Is a Light That Never Goes Out - 2011 Remaster,The Queen Is Dead,79,1986-06-16,244586
59,coming of age online,Fidelity,Begin to Hope (Special Edition),50,2006-06-13,226680
60,coming of age online,Re: Stacks,"For Emma, Forever Ago",0,2008-02-19,401413
61,coming of age online,Sea of Love,The Covers Record,62,2000-03-21,139466
62,coming of age online,The District Sleeps Alone Tonight - Remastered,Give Up (Deluxe 10th Anniversary Edition),53,2003-02-19,283746
63,coming of age online,I Will Follow You into the Dark,Plans,65,2005-08-29,189186
64,coming of age online,Transatlanticism,Transatlanticism (10th Anniversary Edition),55,2003,475093
65,coming of age online,What Sarah Said,Plans,44,2005-08-29,380866
66,coming of age online,Such Great Heights,Give Up,50,2003-02-19,266346
67,coming of age online,A Movie Script Ending,The Photo Album,42,2001-10-09,259480
68,coming of age online,Dear Avery,The King Is Dead,30,2011-01-18,291925
69,coming of age online,You're a Wolf,Leaves in the River,52,2007-09-25,215560
70,coming of age online,Middle Distance Runner,Leaves in the River,40,2007-09-25,207666
71,coming of age online,The Garden That You Planted,Get to the River Before It Runs Too Low,32,2007-05-08,241773
72,coming of age online,Land Locked Blues,"I'm Wide Awake, It's Morning",45,2005-01-25,347933
73,coming of age online,Lisztomania,Wolfgang Amadeus Phoenix,47,2009-05-25,241640
74,coming of age online,40 Day Dream - 2019 - Remaster,Up From Below (10th Anniversary Edition) [2019 - Remaster],55,2009-07-07,232690
75,coming of age online,Oxford Comma,Vampire Weekend,0,2008-01-29,195733
76,coming of age online,Cape Cod Kwassa Kwassa,Vampire Weekend,50,2008-01-29,214706
77,coming of age online,The Kids Don't Stand a Chance,Vampire Weekend,45,2008-01-29,243000
78,coming of age online,Diplomat's Son,Contra,44,2010-01-12,361373
79,coming of age online,Young Lion,Modern Vampires of the City,37,2013-05-13,105360
80,coming of age online,Hannah Hunt,Modern Vampires of the City,53,2013-05-13,237973
81,coming of age online,Unbelievers,Modern Vampires of the City,59,2013-05-13,202666
82,coming of age online,Mykonos,First Collection 2006-2009,63,2018-11-09,275306
83,coming of age online,Oliver James,Fleet Foxes,43,2008-06-03,203866
84,to lay on the floor,Eloise,Finch,60,2019-08-02,168712
85,to lay on the floor,La Lune,Writing of Blues and Yellows (Deluxe Version),61,2016-09-23,187266
86,to lay on the floor,Mice,Feeding Seahorses by Hand,52,2019-04-26,244260
87,dance,Criminal,Criminal,75,2017-09-01,232549
88,dance,Lova Lova (feat. Duncan Mighty),Lova Lova (feat. Duncan Mighty),41,2018-08-02,218253
89,dance,Countdown,4,62,2011-06-24,212146
90,dance,"thank u, next","thank u, next",22,2018-11-03,207333
91,dance,Chunky,24K Magic,69,2016-11-17,186973
92,dance,Leave The Door Open,An Evening With Silk Sonic,83,2021-11-11,242096
93,dance,Summer on You,Summer on You,59,2018-06-21,205791
94,dance,"Do It (feat. Doja Cat, City Girls & Mulatto) [Remix]","Do It (feat. Doja Cat, City Girls & Mulatto) [Remix]",59,2020-09-04,255180
95,dance,No Drama,No Drama,11,2020-03-13,176253
96,dance,Angel Baby,Angel Baby,80,2021-09-09,220779
97,dance,Meet Me At Our Spot,THE ANXIETY,79,2020-03-13,162680
98,dance,Waffle House,Black Like This,28,2020-11-13,204806
99,dance,Sneaky Link,Nobody Knows,39,2021-07-14,222337
100,dance,No R&B (feat. Ann Marie),Public Displays Of Affection,41,2021-11-19,214263
101,dance,Have Mercy,Have Mercy,72,2021-09-10,148778
102,dance,NASA,"thank u, next",65,2019-02-08,182000
103,dance,Berna,Flavour of Africa,45,2020-12-04,238576
104,dance,No Copia,No Copia,47,2020-06-04,175338
105,dance,Favorito,Favorito,66,2020-03-26,211613
106,dance,Girlfriend,Girlfriend,61,2020-06-23,177438
107,dance,Magic In The Hamptons (feat. Lil Yachty),Magic In The Hamptons (feat. Lil Yachty),73,2018-06-08,164640
108,dance,Safaera,YHLQMDLG,79,2020-02-29,295176
109,dance,Yo Perreo Sola,YHLQMDLG,78,2020-02-29,172127
110,dance,Callaita,Callaita,79,2019-05-31,250533
111,dance,Arcoíris,Colores,54,2020-03-19,186693
112,dance,Find Someone Like You,"- Ugh, those feels again",44,2019-08-16,206465
113,dance,Still Not Falling,Timeshare,0,2013-10-29,251640
114,dance,Felices los 4,Felices los 4,1,2017-04-21,229848
115,dance,Julia,Leave What's Lost Behind,43,2020-01-24,205413
116,dance,To Noise Making (Sing),"Wasteland, Baby!",51,2019-03-01,206920
117,dance,Do Whatcha Wanna,25th Anniversary,35,2008-01-01,192680
118,dance,Wraith Pinned to the Mist and Other Games,The Sunlandic Twins,54,2005-04-12,255613
119,dance,Holy Ghost,Cocoa Sugar,36,2018-03-09,152654
120,dance,Young Americans - Original Single Edit,Legacy (Deluxe Edition),21,2016-11-11,193693
121,dance,I Fought the Law,Hits Back,58,2013-08-26,163240
122,dance,Katchua,Katchua,55,2018-10-24,229433
123,dance,Suzanna,Midnight Train,42,2020-06-05,230787
124,dance,Djadja,NAKAMURA,69,2018-11-02,171133
