,playlist_id,playlist_name,collaborative,description,track_name,artist_name,album_name,song_duration,genres,artist_popularity
0,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,"Holland, 1945",Neutral Milk Hotel,In the Aeroplane Over the Sea,192533,"['alternative rock', 'anti-folk', 'chamber pop', 'elephant 6', 'indie pop', 'indie rock', 'lo-fi']",55
1,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,Communist Daughter,Neutral Milk Hotel,In the Aeroplane Over the Sea,117306,"['alternative rock', 'anti-folk', 'chamber pop', 'elephant 6', 'indie pop', 'indie rock', 'lo-fi']",55
2,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,Oh Comely,Neutral Milk Hotel,In the Aeroplane Over the Sea,498146,"['alternative rock', 'anti-folk', 'chamber pop', 'elephant 6', 'indie pop', 'indie rock', 'lo-fi']",55
3,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,King of Carrot Flowers Pts. 2 & 3,Neutral Milk Hotel,In the Aeroplane Over the Sea,186280,"['alternative rock', 'anti-folk', 'chamber pop', 'elephant 6', 'indie pop', 'indie rock', 'lo-fi']",55
4,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,Two-Headed Boy,Neutral Milk Hotel,In the Aeroplane Over the Sea,266106,"['alternative rock', 'anti-folk', 'chamber pop', 'elephant 6', 'indie pop', 'indie rock', 'lo-fi']",55
5,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,"Flightless Bird, American Mouth",Iron & Wine,The Shepherd's Dog,241917,"['chamber pop', 'indie folk', 'stomp and holler']",61
6,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,Heart It Races - Cover Version,Dr. Dog,Heart It Races,231880,"['indie folk', 'indie rock', 'modern folk rock', 'modern rock', 'philly indie', 'rock', 'stomp and holler']",61
7,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,First Day of My Life,Bright Eyes,"I'm Wide Awake, It's Morning",188877,"['chamber pop', 'indie pop', 'indie rock', 'melancholia', 'omaha indie', 'stomp and holler']",56
8,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,Cough Syrup,Young the Giant,Young The Giant (Special Edition),249520,"['modern alternative rock', 'modern rock', 'rock', 'stomp and holler']",65
9,1geFWd3KHXUDPEjFwePiDw,coming of age online,False,we were only 16 - but we were the shit. in progress~,White Winter Hymnal,Fleet Foxes,Fleet Foxes,147026,"['chamber pop', 'folk', 'indie folk', 'indie pop', 'indie rock', 'seattle indie', 'stomp and holler']",63
