playlist_name,artist_popularity
Apt. 435,54.8235294117647
Dancing slowly in a vast room,66.6
Heavy Feeling,61.95
Introducing:,60.25
Lina's Country Classics,66.83333333333333
Lina's happy-ish love songs,65.73076923076923
Momma,61.58064516129032
Re-education pt. 1,62.6
Re-education pt. 2,60.0
Re-education pt. 3,47.3448275862069
Re-education pt. 4,64.23809523809524
Re-education: Bob Dylan,70.0
When you need it,60.42857142857143
You are safe,58.125
a love letter to little me,65.90625
artsy fartsy,53.08695652173913
coming of age online,60.04
current nov22,49.46153846153846
doin' the naughty,66.2
don't worry about it,48.6
"dont worry, you're doing just fine",51.57142857142857
flerw,51.958333333333336
hang on little tomato,58.9
i'd make u up,53.07692307692308
looking for a savior,55.0
our first dance,28.0
sing me to sleep,61.4
songs that break my heart,64.21739130434783
to my future daughter or son,57.57142857142857
wedding playlist 2,65.7
when you realize you’re both in love,65.4
you're so stinkin' cute!!,53.125
