playlist_name,artist_popularity
4/12/19,51.96774193548387
ATL w/Melissa,56.07692307692308
Angola 70's,17.80392156862745
Apt. 435,54.8235294117647
Current Plane Playlist,62.766666666666666
Introducing:,60.0
Lina's spanish songs,68.40425531914893
Música do antigamente,29.0
Re-education: Bob Dylan,70.0
Roo Panes,55.0
To listen to 8/2,56.37931034482759
You are safe,58.125
a love letter to little me,65.90625
coming of age online,59.98
current nov22,49.34615384615385
currents,56.53846153846154
dance,68.58333333333333
disney!!!!!!!!!!!!!,53.5655737704918
doin' the naughty,66.2
"dont worry, you're doing just fine",51.5
fearless,96.28125
feb '20,52.73076923076923
florence,53.0
for dancing,59.8
jan '20,60.72222222222222
lil's recs,63.94736842105263
march to aug '20,39.75
our first dance,28.0
right now,72.94117647058823
road to atl,59.08620689655172
sing me to sleep,61.4
summer2018,52.61538461538461
summer2019,67.8
that new new country,69.4
the great escape,65.0
to lay on the floor,55.333333333333336
to my future daughter or son,57.57142857142857
wedding playlist,59.0
wedding playlist 2,65.2
when you realize you’re both in love,65.2
