playlist_name,popularity
4/12/19,23.103448275862068
ATL w/Melissa,41.72727272727273
Angola 70's,7.24
Apt. 435,33.46153846153846
Current Plane Playlist,34.55172413793103
Introducing:,30.375
Lina's spanish songs,54.54545454545455
Música do antigamente,8.571428571428571
PRAISE,25.88
Re-education: Bob Dylan,44.166666666666664
Roo Panes,0.0
To listen to 8/2,43.869565217391305
Worship,34.24
You are safe,36.875
a love letter to little me,53.86206896551724
coming of age online,47.9
current nov22,48.875
currents,46.8
dance,50.92
disney!!!!!!!!!!!!!,48.1
doin' the naughty,53.888888888888886
"dont worry, you're doing just fine",23.923076923076923
fearless,65.28571428571429
feb '20,29.333333333333332
florence,0.0
for dancing,57.75
jan '20,41.9375
lil's recs,52.333333333333336
march to aug '20,30.416666666666668
our first dance,0.0
right now,58.25
road to atl,39.6
sing me to sleep,38.625
summer2018,28.384615384615383
summer2019,26.25
that new new country,51.91304347826087
the great escape,59.0
to lay on the floor,57.666666666666664
to my future daughter or son,46.5
wedding playlist,51.5
wedding playlist 2,60.8
when you realize you’re both in love,40.333333333333336
