,playlist_name,variable,value
0,Operation: Doomsday (Complete),acousticness,0.2635027027027027
1,coming of age online,acousticness,0.42478778
2,wedding playlist 2,acousticness,0.06403
3,Operation: Doomsday (Complete),danceability,0.6438378378378378
4,coming of age online,danceability,0.5230020000000001
5,wedding playlist 2,danceability,0.5252
6,Operation: Doomsday (Complete),energy,0.6442972972972972
7,coming of age online,energy,0.535454
8,wedding playlist 2,energy,0.764
9,Operation: Doomsday (Complete),instrumentalness,0.23452842
10,coming of age online,instrumentalness,0.08812870739999999
11,wedding playlist 2,instrumentalness,0.0164534
12,Operation: Doomsday (Complete),liveness,0.2536216216216216
13,coming of age online,liveness,0.155418
14,wedding playlist 2,liveness,0.22810000000000002
15,Operation: Doomsday (Complete),loudness,-8.695540540540541
16,coming of age online,loudness,-8.62586
17,wedding playlist 2,loudness,-8.4628
18,Operation: Doomsday (Complete),speechiness,0.2177027027027027
19,coming of age online,speechiness,0.050232
20,wedding playlist 2,speechiness,0.03376
21,Operation: Doomsday (Complete),time_signature,4.0
22,coming of age online,time_signature,3.84
23,wedding playlist 2,time_signature,4.0
24,Operation: Doomsday (Complete),valence,0.6253783783783784
25,coming of age online,valence,0.42204
26,wedding playlist 2,valence,0.6128
