,playlist_name,track_name,album_name,popularity,release_date,duration
0,artsy fartsy,Ivory Road,LoveBlood,32,2012-01-01,236653
1,artsy fartsy,Love Lust,LoveBlood,36,2012-01-01,178426
2,artsy fartsy,Cannibal Queen,Tell It To The Volcano,0,2009-12-22,164386
3,artsy fartsy,Hot Venom,Tell It To The Volcano,0,2009-12-22,170520
4,artsy fartsy,Wooly Mammoth,Hummingbird,24,2013-01-29,206746
5,artsy fartsy,Sticky Thread,Gorilla Manor,24,2010-02-16,228813
6,artsy fartsy,Sun It Rises,Fleet Foxes,0,2008-06-03,191493
7,artsy fartsy,Oliver James,Fleet Foxes,0,2008-06-03,203880
8,artsy fartsy,January Hymn,The King Is Dead,38,2011-01-18,192400
9,artsy fartsy,Ocean Breathes Salty,Good News For People Who Love Bad News,55,2004-04-05,224333
10,artsy fartsy,In the Aeroplane Over the Sea,In the Aeroplane Over the Sea,0,1998-02-20,202346
11,artsy fartsy,King of Carrot Flowers Pt. 1,In the Aeroplane Over the Sea,0,1998-02-20,120426
12,artsy fartsy,"Holland, 1945",In the Aeroplane Over the Sea,0,1998-02-20,192533
13,artsy fartsy,Ain't It Strange,We All Belong,0,2006,268360
14,artsy fartsy,From,Fate,0,2008-07-22,279160
15,artsy fartsy,"The Rabbit, the Bat, & the Reindeer",Fate,0,2008-07-22,209133
16,artsy fartsy,I'll Be Your Coffin,Fourteen Ghosts,0,2006-04-25,115120
17,artsy fartsy,Hollywood Forever Cemetery Sings,Fear Fun,0,2012-05-01,190613
18,artsy fartsy,I Think U Are Great,The Mistress,0,2010,81375
19,artsy fartsy,WHALE,The Mistress,0,2010,224457
20,artsy fartsy,San Francisco,We Are the 21st Century Ambassadors of Peace & Magic,0,2013-01-22,227906
21,artsy fartsy,Shuggie,We Are the 21st Century Ambassadors of Peace & Magic,1,2013-01-22,201706
22,artsy fartsy,My Girls,Merriweather Post Pavilion,0,2009-01-20,340786
23,artsy fartsy,The Breeze,Fate,0,2008-07-22,239093
24,When you need it,Here Comes the Sun,Here Comes The Sun (Expanded Edition),55,1971,214093
25,When you need it,Helplessness Blues,Helplessness Blues,0,2011-05-03,303386
26,When you need it,In the Embers,Atlas: I,37,2014-07-08,238376
27,When you need it,It Could Be So (Bonus Track),RUFF (Deluxe Version),0,2016-04-22,129725
28,When you need it,There Is a Dark Place,Keep a Private Room Behind the Shop,0,2011-10-10,214000
29,When you need it,Withholding Nothing,Withholding Nothing,0,2013-11-05,279213
30,When you need it,To My Knees - Live,Youth Revival (Live),39,2016-02-26,473293
31,don't worry about it,Prologue,Dear,22,2010,79413
32,don't worry about it,Anchor,Anchor,0,2010-08-04,193746
33,don't worry about it,Patient Love - Acoustic,All the Little Lights,0,2012-06-29,199106
34,don't worry about it,Kill Monsters In The Rain,Trampoline,0,2007-01-01,237933
35,don't worry about it,To Take You Home,Love Ire & Song,24,2009-05-18,229133
36,don't worry about it,The Freshmen,Villains,61,1996-03-25,269466
37,don't worry about it,I Was Made For Sunny Days,Be My Thrill,0,2010-08-24,193506
38,don't worry about it,I Got,Young The Giant,32,2011,259773
39,don't worry about it,Good As New,Gone,45,2012-03-20,204031
40,don't worry about it,I Need A Life,"Red, Yellow & Blue",30,2008,206626
41,i'd make u up,When The Sun Goes Down,"Whatever People Say I Am, That's What I'm Not",0,2006-02-21,202013
42,i'd make u up,Hummingbird,"Red, Yellow & Blue",37,2008,188013
43,i'd make u up,Cape Cod Kwassa Kwassa,Vampire Weekend,0,2008-01-29,214706
44,i'd make u up,Nothing Ever Happened,Microcastle,33,2008-10-31,350920
45,i'd make u up,Stranger,"Shame, Shame (Deluxe Edition)",33,2010-11-02,223880
46,i'd make u up,Excuses,Big Echo,0,2010,317426
47,i'd make u up,"Holland, 1945",In the Aeroplane Over the Sea,0,1998-02-20,192533
48,i'd make u up,In A Mirror,"Red, Yellow & Blue",19,2008,184440
49,i'd make u up,Where Is My Mind?,Death To The Pixies,0,1997-10-06,231666
50,i'd make u up,Cold War,Big Echo,0,2010,104133
51,i'd make u up,Heaven,Heaven,47,2012-05-29,262293
52,i'd make u up,White Sky,Contra,0,2010-01-12,178666
53,i'd make u up,You Are A Runner And I Am My Father's Son,Apologies To The Queen Mary,0,2005-09-27,174960
54,flerw,Diddy Bop (feat. Cam O'bi & Raury),Telefone,28,2016-08-12,208000
55,flerw,4r Da Squaw,The Sun's Tirade,60,2016-09-02,232571
56,flerw,Detroit Madness (Instrumental),Rebirth Of Detroit Instrumentals,0,2014-05-06,201711
57,flerw,Sunny Duet (feat. the Mind),Telefone,19,2016-08-12,162490
58,flerw,Casket Pretty,Telefone,11,2016-08-12,110503
59,flerw,Freedom (Interlude),Telefone,11,2016-08-12,199029
60,flerw,Redbone,Redbone,0,2016-11-17,326880
61,flerw,We Ain't Them,Majestic Casual - Chapter I,0,2013-11-10,193213
62,flerw,Souvenir (feat. Hemlock Ernst),So the Flies Don't Come,0,2015-09-25,225335
63,flerw,Reality Check (feat. Akenya & Eryn Allen Kane),Telefone,21,2016-08-12,183135
64,flerw,Sour Mango,Sour Mango,0,2016-11-02,259001
65,flerw,Folk-Metaphysics,things that happen at day // things that happen at night,0,2013-04-02,281853
66,flerw,Yesterday,Telefone,18,2016-08-12,189509
67,flerw,"Shadow Man (feat. Phoelix, Smino & Saba)",Telefone,26,2016-08-12,311000
68,flerw,Bye Bye Baby,Telefone,13,2016-08-12,169241
69,you're so stinkin' cute!!,An Encounter,The 1975 (Deluxe Version),44,2013,74750
70,you're so stinkin' cute!!,Honey & I,Days Are Gone,39,2013-09-30,250133
71,you're so stinkin' cute!!,Do The Trick,Be The Void (Deluxe Edition),30,2012-02-07,272413
72,you're so stinkin' cute!!,Ancient Mars,Ancient Mars,40,2012-10-29,222398
73,you're so stinkin' cute!!,You Always Make Me Smile,Kangaroo,37,2010-04-01,166280
74,you're so stinkin' cute!!,I've Got This Friend,Barton Hollow,0,2011-02-01,203866
75,you're so stinkin' cute!!,I Got You,From Here To Now To You,45,2013-01-01,179346
76,you're so stinkin' cute!!,Ae Fond Kiss,Ae Fond Kiss,0,2013-01-25,258839
77,hang on little tomato,Young Lion,Modern Vampires of the City,0,2013-05-27,105360
78,hang on little tomato,In the Aeroplane Over the Sea,In the Aeroplane Over the Sea,0,1998-02-20,202346
79,hang on little tomato,Needle,Birthmarks,0,2013-04-16,213870
80,hang on little tomato,Unbelievers,Modern Vampires of the City,0,2013-05-27,202666
81,hang on little tomato,12,The 1975 (Deluxe Version),40,2013,79577
82,hang on little tomato,Bones,Every Kingdom (Deluxe Version),43,2011-01-01,345746
83,hang on little tomato,Hang on Little Tomato,Hang on Little Tomato,0,2006,196893
84,hang on little tomato,What's Your Name,Mélange,0,2010-09-06,273453
85,hang on little tomato,Can't Go Back Now,Hideaway,0,2008,137880
86,songs that break my heart,First Day Of My Life,"I'm Wide Awake, It's Morning",1,2005-01-25,188800
87,songs that break my heart,Lua,"I'm Wide Awake, It's Morning",0,2005-01-25,271666
88,songs that break my heart,Land Locked Blues,"I'm Wide Awake, It's Morning",0,2005-01-25,347733
89,songs that break my heart,We Found Each Other In The Dark,Little Hell,0,2011-06-07,262320
