,Unnamed: 0,playlist_name,track_name,album_name,popularity,release_date,duration,artist_name
0,0,wedding playlist 2,Do You Realize??,Yoshimi Battles the Pink Robots,59,2002,213173,The Flaming Lips
1,1,wedding playlist 2,I Melt with You,After the Snow,55,1982,251573,Modern English
2,2,wedding playlist 2,Just Like Heaven,"Kiss Me, Kiss Me, Kiss Me",72,1987,212013,The Cure
3,3,wedding playlist 2,Here Comes Your Man,Doolittle,69,1989,201186,Pixies
4,4,wedding playlist 2,God Only Knows - Mono / 1997 Remastered,Pet Sounds (Original Mono & Stereo Mix Versions),67,1966,173040,The Beach Boys
5,5,coming of age online,"Holland, 1945",In the Aeroplane Over the Sea,58,1998,192533,Neutral Milk Hotel
6,6,coming of age online,Communist Daughter,In the Aeroplane Over the Sea,52,1998,117306,Neutral Milk Hotel
7,7,coming of age online,Oh Comely,In the Aeroplane Over the Sea,49,1998,498146,Neutral Milk Hotel
8,8,coming of age online,King of Carrot Flowers Pts. 2 & 3,In the Aeroplane Over the Sea,50,1998,186280,Neutral Milk Hotel
9,9,coming of age online,Two-Headed Boy,In the Aeroplane Over the Sea,53,1998,266106,Neutral Milk Hotel
10,10,coming of age online,"Flightless Bird, American Mouth",The Shepherd's Dog,68,2007,241917,Iron & Wine
11,11,coming of age online,Heart It Races - Cover Version,Heart It Races (Cover Version),59,2007,231880,Dr. Dog
12,12,coming of age online,First Day of My Life,"I'm Wide Awake, It's Morning",68,2005,188877,Bright Eyes
13,13,coming of age online,Cough Syrup,Young The Giant (Special Edition),69,2011,249520,Young the Giant
14,14,coming of age online,White Winter Hymnal,Fleet Foxes,59,2008,147026,Fleet Foxes
15,15,coming of age online,Do You Realize??,Yoshimi Battles the Pink Robots,59,2002,213173,The Flaming Lips
16,16,coming of age online,"Yoshimi Battles the Pink Robots, Pt. 1",Yoshimi Battles the Pink Robots,57,2002,287506,The Flaming Lips
17,17,coming of age online,Oblivion,Visions,69,2012,251266,Grimes
18,18,coming of age online,Lua,"I'm Wide Awake, It's Morning",59,2005,271600,Bright Eyes
19,19,coming of age online,I And Love And You,I And Love And You,60,2009,300840,The Avett Brothers
20,20,coming of age online,Blood Bank,Blood Bank,65,2009,285160,Bon Iver
21,21,coming of age online,No One's Gonna Love You,Cease To Begin,59,2007,217333,Band of Horses
22,22,coming of age online,The Blower's Daughter,O,64,2003,286653,Damien Rice
23,23,coming of age online,Sleeping Ute,Shields,38,2012,275317,Grizzly Bear
24,24,coming of age online,There Is a Light That Never Goes Out - 2011 Remaster,The Queen Is Dead,79,1986,244586,The Smiths
25,25,coming of age online,Fidelity,Begin to Hope,57,2006,226680,Regina Spektor
26,26,coming of age online,re:stacks,"For Emma, Forever Ago",59,2008,401426,Bon Iver
27,27,coming of age online,Sea of Love,The Covers Record,62,2000,139466,Cat Power
28,28,coming of age online,The District Sleeps Alone Tonight - Remastered,Give Up (Deluxe 10th Anniversary Edition),53,2003,283746,The Postal Service
29,29,coming of age online,I Will Follow You into the Dark,Plans,63,2005,189400,Death Cab for Cutie
30,30,coming of age online,Transatlanticism,Transatlanticism (10th Anniversary Edition),55,2003,475093,Death Cab for Cutie
31,31,coming of age online,What Sarah Said,Plans,39,2005,380866,Death Cab for Cutie
32,32,coming of age online,Such Great Heights,Give Up,50,2003,266346,The Postal Service
33,33,coming of age online,A Movie Script Ending,The Photo Album,42,2001,259480,Death Cab for Cutie
34,34,coming of age online,Dear Avery,The King Is Dead,18,2011,291906,The Decemberists
35,35,coming of age online,You're a Wolf,Leaves in the River,52,2007,215560,Sea Wolf
36,36,coming of age online,Middle Distance Runner,Leaves in the River,40,2007,207666,Sea Wolf
37,37,coming of age online,The Garden That You Planted,Get to the River Before It Runs Too Low,32,2007,241773,Sea Wolf
38,38,coming of age online,Land Locked Blues,"I'm Wide Awake, It's Morning",45,2005,347933,Bright Eyes
39,39,coming of age online,Lisztomania,Wolfgang Amadeus Phoenix,64,2009,241546,Phoenix
40,40,coming of age online,40 Day Dream,Up From Below,48,2009,233586,Edward Sharpe & The Magnetic Zeros
41,41,coming of age online,Oxford Comma,Vampire Weekend,54,2008,195733,Vampire Weekend
42,42,coming of age online,Cape Cod Kwassa Kwassa,Vampire Weekend,48,2008,214706,Vampire Weekend
43,43,coming of age online,The Kids Don't Stand a Chance,Vampire Weekend,38,2008,243000,Vampire Weekend
44,44,coming of age online,Diplomat's Son,Contra,40,2010,361373,Vampire Weekend
45,45,coming of age online,Young Lion,Modern Vampires of the City,37,2013,105360,Vampire Weekend
46,46,coming of age online,Hannah Hunt,Modern Vampires of the City,53,2013,237973,Vampire Weekend
47,47,coming of age online,Unbelievers,Modern Vampires of the City,59,2013,202666,Vampire Weekend
48,48,coming of age online,Mykonos,First Collection: 2006-2009,61,2018,275306,Fleet Foxes
49,49,coming of age online,Oliver James,Fleet Foxes,35,2008,203880,Fleet Foxes
50,50,coming of age online,Helplessness Blues,Helplessness Blues,44,2011,303386,Fleet Foxes
51,51,coming of age online,Needle,Birthmarks,50,2013,213870,Born Ruffians
52,52,coming of age online,Ocean's Deep,Birthmarks,52,2013,167351,Born Ruffians
53,53,coming of age online,Hummingbird,"Red, Yellow & Blue",37,2008,188013,Born Ruffians
54,54,coming of age online,I Need A Life,"Red, Yellow & Blue",30,2008,206626,Born Ruffians
55,55,dance,Leave The Door Open,An Evening With Silk Sonic,83,2021,242096,Silk Sonic
56,56,dance,Summer on You,Summer on You,59,2018,205791,PRETTYMUCH
57,57,dance,"Do It (feat. Doja Cat, City Girls & Mulatto) [Remix]","Do It (feat. Doja Cat, City Girls & Mulatto) [Remix]",59,2020,255180,Latto
58,58,dance,No Drama,No Drama,11,2020,176253,The New Respects
59,59,dance,Angel Baby,Angel Baby,80,2021,220779,Troye Sivan
