,playlist_name,variable,value
0,4/12/2019,acousticness,0.5689958333333334
1,ATL w/Melissa,acousticness,0.3446166666666666
2,Angola 70's,acousticness,0.47138800000000003
3,Apt. 435,acousticness,0.62475
4,Atlas: II,acousticness,0.8371999999999999
5,"Christmas Collection, Vol. 1",acousticness,0.888
6,Current Plane Playlist,acousticness,0.40007583333333335
7,Introducing:,acousticness,0.9153333333333333
8,Lina's spanish songs,acousticness,0.3673376923076923
9,Litty,acousticness,0.1508841951219512
10,Música do antigamente,acousticness,0.6695
11,PRAISE,acousticness,0.53658804
12,Re-education: Bob Dylan,acousticness,0.7702105263157895
13,Roo Panes,acousticness,0.6146666666666666
14,To listen to 8/2,acousticness,0.36839444444444447
15,Worship,acousticness,0.2373266
16,You are safe,acousticness,0.8763333333333333
17,Your Top Songs 2017,acousticness,0.2665608
18,a love letter to little me,acousticness,0.1103789625
19,coming of age online,acousticness,0.42478778
20,currents,acousticness,0.655644
21,dance,acousticness,0.2397326
22,disney!!!!!!!!!!!!!,acousticness,0.630014
23,doin' the naughty,acousticness,0.21248750000000002
24,"dont worry, you're doing just fine",acousticness,0.09787375
25,fearless,acousticness,0.25293004347826087
26,feb '20,acousticness,0.40062625
27,florence,acousticness,0.8752666666666666
28,for dancing,acousticness,0.06196838974358975
29,jan '20,acousticness,0.3719181818181818
30,lil's recs,acousticness,0.40632857142857143
31,march to aug '20,acousticness,0.538602857142857
32,right now,acousticness,0.34190909090909094
33,road to atl,acousticness,0.4964672
34,sing me to sleep,acousticness,0.868
35,sleeping at last,acousticness,0.6408823529411765
36,spring break,acousticness,0.35852280000000003
37,summer2018,acousticness,0.63575
38,summer2019,acousticness,0.30996363636363633
39,that new new country,acousticness,0.30958888888888886
40,"through the deep, dark valley",acousticness,0.31634111111111113
41,wedding playlist 2,acousticness,0.06403
42,when you realize you’re both in love,acousticness,0.636775
43,4/12/2019,danceability,0.46141666666666664
44,ATL w/Melissa,danceability,0.535
45,Angola 70's,danceability,0.6411199999999999
46,Apt. 435,danceability,0.486
47,Atlas: II,danceability,0.3543
48,"Christmas Collection, Vol. 1",danceability,0.4093846153846154
49,Current Plane Playlist,danceability,0.5830416666666667
50,Introducing:,danceability,0.4873333333333334
51,Lina's spanish songs,danceability,0.6738717948717948
52,Litty,danceability,0.7498048780487805
53,Música do antigamente,danceability,0.619
54,PRAISE,danceability,0.44248
55,Re-education: Bob Dylan,danceability,0.5218421052631579
56,Roo Panes,danceability,0.36233333333333334
57,To listen to 8/2,danceability,0.5553333333333333
58,Worship,danceability,0.40976
59,You are safe,danceability,0.5066666666666667
60,Your Top Songs 2017,danceability,0.43
61,a love letter to little me,danceability,0.61
62,coming of age online,danceability,0.5230020000000001
63,currents,danceability,0.5738000000000001
64,dance,danceability,0.70392
65,disney!!!!!!!!!!!!!,danceability,0.49042
66,doin' the naughty,danceability,0.50325
67,"dont worry, you're doing just fine",danceability,0.541
68,fearless,danceability,0.548304347826087
69,feb '20,danceability,0.5578125
70,florence,danceability,0.478
71,for dancing,danceability,0.5385897435897435
72,jan '20,danceability,0.5926363636363636
73,lil's recs,danceability,0.5232857142857142
74,march to aug '20,danceability,0.5237142857142857
75,right now,danceability,0.628
76,road to atl,danceability,0.56806
77,sing me to sleep,danceability,0.421
78,sleeping at last,danceability,0.3256294117647059
79,spring break,danceability,0.59772
80,summer2018,danceability,0.46687500000000004
81,summer2019,danceability,0.6808181818181818
82,that new new country,danceability,0.5507777777777778
83,"through the deep, dark valley",danceability,0.4441111111111111
84,wedding playlist 2,danceability,0.5252
85,when you realize you’re both in love,danceability,0.37474999999999997
86,4/12/2019,energy,0.356975
87,ATL w/Melissa,energy,0.5143333333333333
88,Angola 70's,energy,0.66557
89,Apt. 435,energy,0.343075
90,Atlas: II,energy,0.32985
91,"Christmas Collection, Vol. 1",energy,0.20723076923076922
92,Current Plane Playlist,energy,0.5581666666666667
93,Introducing:,energy,0.18233333333333332
94,Lina's spanish songs,energy,0.6191794871794871
95,Litty,energy,0.583780487804878
96,Música do antigamente,energy,0.7145
97,PRAISE,energy,0.303914
98,Re-education: Bob Dylan,energy,0.3468052631578947
99,Roo Panes,energy,0.31878333333333336
100,To listen to 8/2,energy,0.5349444444444444
101,Worship,energy,0.5273
102,You are safe,energy,0.4573333333333333
103,Your Top Songs 2017,energy,0.5263
104,a love letter to little me,energy,0.7772083333333333
105,coming of age online,energy,0.535454
106,currents,energy,0.4708
107,dance,energy,0.6709999999999999
108,disney!!!!!!!!!!!!!,energy,0.384662
109,doin' the naughty,energy,0.54925
110,"dont worry, you're doing just fine",energy,0.633
111,fearless,energy,0.6376086956521739
112,feb '20,energy,0.4836875
113,florence,energy,0.20847333333333334
114,for dancing,energy,0.7944102564102564
115,jan '20,energy,0.6192727272727273
116,lil's recs,energy,0.5602857142857143
117,march to aug '20,energy,0.4531714285714286
118,right now,energy,0.6281818181818182
119,road to atl,energy,0.5318
120,sing me to sleep,energy,0.23033333333333336
121,sleeping at last,energy,0.33329411764705885
122,spring break,energy,0.57658
123,summer2018,energy,0.3744125
124,summer2019,energy,0.5402727272727272
125,that new new country,energy,0.5846666666666667
126,"through the deep, dark valley",energy,0.39405555555555555
127,wedding playlist 2,energy,0.764
128,when you realize you’re both in love,energy,0.4425
129,4/12/2019,instrumentalness,0.040431868333333336
130,ATL w/Melissa,instrumentalness,0.0004664
131,Angola 70's,instrumentalness,0.0242369718
132,Apt. 435,instrumentalness,0.001496175
133,Atlas: II,instrumentalness,0.10565337649999999
134,"Christmas Collection, Vol. 1",instrumentalness,0.015070466153846154
135,Current Plane Playlist,instrumentalness,0.026623580416666667
136,Introducing:,instrumentalness,0.32456666666666667
137,Lina's spanish songs,instrumentalness,0.0034095994871794874
138,Litty,instrumentalness,0.0038741087804878053
139,Música do antigamente,instrumentalness,0.0715241
140,PRAISE,instrumentalness,0.0318172138
141,Re-education: Bob Dylan,instrumentalness,0.0010533421052631579
142,Roo Panes,instrumentalness,0.02377868333333333
143,To listen to 8/2,instrumentalness,0.0013456816666666668
144,Worship,instrumentalness,0.0025674482
145,You are safe,instrumentalness,0.026714199999999997
146,Your Top Songs 2017,instrumentalness,0.0028666222
147,a love letter to little me,instrumentalness,0.0004260820833333333
148,coming of age online,instrumentalness,0.08812870739999999
149,currents,instrumentalness,0.073225576
150,dance,instrumentalness,0.001538915
151,disney!!!!!!!!!!!!!,instrumentalness,0.00043840160000000003
152,doin' the naughty,instrumentalness,0.2067641
153,"dont worry, you're doing just fine",instrumentalness,0.0010186750000000001
154,fearless,instrumentalness,5.217391304347826e-07
155,feb '20,instrumentalness,0.00176937375
156,florence,instrumentalness,0.7919466666666667
157,for dancing,instrumentalness,0.001530536923076923
158,jan '20,instrumentalness,0.0031070836363636363
159,lil's recs,instrumentalness,3.715714285714285e-05
160,march to aug '20,instrumentalness,0.00017398999999999998
161,right now,instrumentalness,3.707909090909091e-05
162,road to atl,instrumentalness,0.0078976912
163,sing me to sleep,instrumentalness,0.18333369000000002
164,sleeping at last,instrumentalness,0.6544529411764706
165,spring break,instrumentalness,0.0435837874
166,summer2018,instrumentalness,0.02876264625
167,summer2019,instrumentalness,0.0002263581818181818
168,that new new country,instrumentalness,2.9103333333333333e-05
169,"through the deep, dark valley",instrumentalness,0.15391195555555556
170,wedding playlist 2,instrumentalness,0.0164534
171,when you realize you’re both in love,instrumentalness,0.007870295
172,4/12/2019,liveness,0.16475833333333334
173,ATL w/Melissa,liveness,0.14795
174,Angola 70's,liveness,0.17377800000000002
175,Apt. 435,liveness,0.1318875
176,Atlas: II,liveness,0.137005
177,"Christmas Collection, Vol. 1",liveness,0.1158076923076923
178,Current Plane Playlist,liveness,0.1687625
179,Introducing:,liveness,0.1416666666666667
180,Lina's spanish songs,liveness,0.17946410256410258
181,Litty,liveness,0.1717878048780488
182,Música do antigamente,liveness,0.099
183,PRAISE,liveness,0.173814
184,Re-education: Bob Dylan,liveness,0.1508842105263158
185,Roo Panes,liveness,0.11475
186,To listen to 8/2,liveness,0.15291666666666667
187,Worship,liveness,0.373216
188,You are safe,liveness,0.31536666666666663
189,Your Top Songs 2017,liveness,0.309698
190,a love letter to little me,liveness,0.19496666666666665
191,coming of age online,liveness,0.155418
192,currents,liveness,0.14912
193,dance,liveness,0.19737400000000002
194,disney!!!!!!!!!!!!!,liveness,0.19390999999999997
195,doin' the naughty,liveness,0.23475
196,"dont worry, you're doing just fine",liveness,0.149225
197,fearless,liveness,0.14691304347826087
198,feb '20,liveness,0.18996875
199,florence,liveness,0.11121333333333334
200,for dancing,liveness,0.24562307692307692
201,jan '20,liveness,0.21974545454545452
202,lil's recs,liveness,0.15584285714285714
203,march to aug '20,liveness,0.08747142857142856
204,right now,liveness,0.18180909090909092
205,road to atl,liveness,0.18639399999999998
206,sing me to sleep,liveness,0.22906666666666667
207,sleeping at last,liveness,0.0947470588235294
208,spring break,liveness,0.14659
209,summer2018,liveness,0.18195
210,summer2019,liveness,0.18477272727272726
211,that new new country,liveness,0.12582777777777776
212,"through the deep, dark valley",liveness,0.20552222222222222
213,wedding playlist 2,liveness,0.22810000000000002
214,when you realize you’re both in love,liveness,0.24205000000000002
215,4/12/2019,loudness,0.4178489774186478
216,ATL w/Melissa,loudness,0.7982447898379795
217,Angola 70's,loudness,0.6394239851248908
218,Apt. 435,loudness,0.2210224659647806
219,Atlas: II,loudness,0.37044363233556044
220,"Christmas Collection, Vol. 1",loudness,0.3050553841436905
221,Current Plane Playlist,loudness,0.6549746064870907
222,Introducing:,loudness,0.2110208340545059
223,Lina's spanish songs,loudness,0.7304019558577782
224,Litty,loudness,0.7356781781271678
225,Música do antigamente,loudness,0.7785299950053657
226,PRAISE,loudness,0.20180696974042744
227,Re-education: Bob Dylan,loudness,0.20859509182813785
228,Roo Panes,loudness,0.017334513583592726
229,To listen to 8/2,loudness,0.7863214050033162
230,Worship,loudness,0.6897481418476193
231,You are safe,loudness,0.16123932870793944
232,Your Top Songs 2017,loudness,0.6847000993981714
233,a love letter to little me,loudness,1.0000000000000002
234,coming of age online,loudness,0.6067481962446285
235,currents,loudness,0.523951992166831
236,dance,loudness,0.8110277573102164
237,disney!!!!!!!!!!!!!,loudness,0.20831483010825025
238,doin' the naughty,loudness,0.6416720651577268
239,"dont worry, you're doing just fine",loudness,0.7229214161025039
240,fearless,loudness,0.8252211195420505
241,feb '20,loudness,0.6693341806079609
242,florence,loudness,0.0
243,for dancing,loudness,0.9517483312861548
244,jan '20,loudness,0.7543885124306159
245,lil's recs,loudness,0.8665259879945096
246,march to aug '20,loudness,0.5237259266742447
247,right now,loudness,0.8827654540329539
248,road to atl,loudness,0.673854324809487
249,sing me to sleep,loudness,0.03530201054642634
250,sleeping at last,loudness,0.05391529018477237
251,spring break,loudness,0.628202376654782
252,summer2018,loudness,0.3139053590944385
253,summer2019,loudness,0.7587672468864457
254,that new new country,loudness,0.8431855108346206
255,"through the deep, dark valley",loudness,0.33293607032709094
256,wedding playlist 2,loudness,0.6228754259038559
257,when you realize you’re both in love,loudness,0.5156440853142912
258,4/12/2019,speechiness,0.034866666666666664
259,ATL w/Melissa,speechiness,0.049416666666666664
260,Angola 70's,speechiness,0.07084399999999999
261,Apt. 435,speechiness,0.0446375
262,Atlas: II,speechiness,0.037535
263,"Christmas Collection, Vol. 1",speechiness,0.03939230769230769
